Social Media Provider	App Name	Downloads	Use case Description	Data FlowType I (yes/no)	Data FlowType II (yes/no)	
Kakao	오늘의집 - 라이프스타일 슈퍼앱 	10M+	login with kakao account; display user's kakao name; display kakao email;	yes	yes	
Kakao	에이블리 - 3천만의 AI 쇼핑메이트	5M+	login with kakao account; display user's kakao name; 	yes	yes	
Kakao	WePlay - 파티게임 	10K+	login with kakao account; display user's kakao name; 	yes	yes	
Kakao	H.Point 	1M+	login with kakao account;	no	yes	
Kakao	교촌치킨  	1M+	login with kakao account;	no	yes	
Kakao	야놀자 - 누구나 마음 편히 놀 수 있게	10M+	login with kakao account; 	no	yes	
Kakao	SSG.COM	10M+	login with kakao account; 	no	yes	
Kakao	공구마켓-공동구매 쇼핑어플	5M+	login with kakao account; display user's name; display kakao email; display kakao profile image;	yes	yes	
Kakao	"
KeepWell"	10K+	login with kakao account;	no	yes	
Kakao	온라인 패션 스토어 무신사	5M+	login with kakao account;	no	yes	
Kakao	그립 Grip - 전국민 라이브 大장터	1M+	login with kakao account; 	no	yes	
"Snap login, bitmoji kit"	viber-safe-chats-and-calls	1B+	use snapchat camara;	no	no	
"Snap login, bitmoji kit"	uno-%E2%84%A2	100M+	login with snapchat account; display user's snapchat name;	yes	yes	
"Snap login, bitmoji kit"	triller-social-video-editor	10M+	login with snapchat account; display user's snapchat name; display user's  bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	dil-mil-south-asian-dating	1M+	connect to snapchat; 	no	no	
"Snap login, bitmoji kit"	lobby	1M+	login with snapchat account; display user's snapchat name;	yes	yes	
"Snap login, bitmoji kit"	TikTok	1B+	share to snapchat;	no	no	
"Snap login, bitmoji kit"	Picsart Photo & Video Editor	500M+	login with snapchat account; display user's snapchat name; display user's bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	"Hago- Party, Chat & Games"	100M+	login with snapchat account; display user's snapchat name; display user's bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	moj	100M+	share to snapchat;	no	no	
"Snap login, bitmoji kit"	prequel-aesthetic-photo-editor	10M+	share to snapchat;	no	no	
"Snap login, bitmoji kit"	zenly-your-world	50M+	invite friends from snapchat;	no	no	
"Snap login, bitmoji kit"	bigo-live-live-streaming-app	100M+	use snap camera;	no	no	
"Snap login, bitmoji kit"	josh-short-videos-app	100M+	login with snapchat account; display user's bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	bud-create-play-hangout	10M+	login with snapchat account; display user's snapchat name; display user's bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	kahoot-play-create-quizzes	50M+	login with snapchat account; display user's bitmoji avatar;	yes	yes	
"Snap login, bitmoji kit"	celebs-celebrity-look-alike	1M+	dead code;	no	no	
"Snap login, bitmoji kit"	highrise-virtual-metaverse	5M+	login with snapchat account;	yes	yes	
"Snap login, bitmoji kit"	saramart-shopping	10M+	dead code;	no	no	
"Snap login, bitmoji kit"	"iHeart: Music, Radio, Podcasts"	50M+	share to snapchat;	no	no	
"Snap login, bitmoji kit"	iFunny - cool memes & videos	10M+	share to snapchat;	no	no	
Tiktok	capcut-video-editor	100M+	login with tiktok account; display user's profile image; display user's name;	yes	yes	
Tiktok	video-editor-app-vivacut	50M+ 	login with tiktok account; display user's profile image; display user's tiktok name;	no	no	
Tiktok	bud-create-play-hangout	10M+ 	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	Hago	100M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	今日头条	20B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	番茄免费小说	3B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	西瓜视频	10B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	剪映	4B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	starmaker	100M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	懂车帝	1B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	多闪	442M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	faceu激萌	1B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	轻颜相机	1B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	图虫	80M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	皮皮虾	485M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	住小帮	270M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	幸福里	500M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	no	
Tiktok	悟空浏览器	140M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Tiktok	抖音火山版	5B+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Tiktok	小荷健康	140M+ (huawei app gallery)	login with tiktok account; display user's profile image; display user's tiktok name;	no	yes	
Wechat	mi-home	10M+ 	login with tiktok account; display user's profile image; display user's tiktok name;	yes	yes	
Wechat	weee-grocery-delivery	500K+ 	login with wechat account; display user's wechat name; display user's profile image; share to wechat/moments;	yes	yes	
Wechat	Booking.com: Hotels and more	500M+ 	login with wechat account; display user's wechat email;	yes	yes	
Wechat	airbnb	330M+  (huawei app gallery)	login with wechat account; display user's wechat name; display user's profile image; display user's wechat email;	yes	yes	
Wechat	小红书	12B+ (huawei app gallery)	login with wechat account; display user's wechat name; 	yes	yes	
Wechat	马蜂窝	890M+ (huawei app gallery)	login with wechat account; display user's wechat name;  display user's profile image;	yes	yes	
Wechat	NetEaseMusic	6B+ (huawei app gallery)	login with wechat account; display user's wechat name; display user's profile image;	yes	yes	
Wechat	qq音乐	7B+ (huawei app gallery)	login with wechat account; display user's wechat name; display user's profile image; display user's wechat friends;	yes	yes	
Wechat	Ctrip	9B+ (huawei app gallery)	login with wechat account; choose to use wechat profile image or not;	yes	yes	
Wechat	知乎	7B+ (huawei app gallery)	login with wechat account; display user's wechat email; display user's phone number; display user's wechat name;	yes	yes	
Wechat	豆瓣	390M+ (huawei app gallery)	band wechat account;	no	yes	
Wechat	安居客	1B+ (huawei app gallery)	login with wechat account; display user's wechat name; 	yes	yes	
Wechat	ximalaya	8B+ (huawei app gallery)	login with wechat account; display user's wechat name; display user's profile image; 	yes	yes	
Wechat	58同城	7B+ (huawei app gallery)	login with wechat account; display user's profile image;	yes	yes	
Wechat	汽车之家	2M+ (huawei app gallery)	login with wechat account; choose to use wechat profile image or not;	yes	yes	
Wechat	起点读书	500M+ (huawei app gallery)	login with wechat account;	no	yes	
Wechat	keep	2B+ (huawei app gallery)	login with wechat account; display user's profile image; display user's wechat name;	yes	yes	
Wechat	夸克	1B+ (huawei app gallery)	login with wechat account; display user's profile image; display user's wechat name;	yes	yes	
Wechat	amap	9B+ (huawei app gallery)	login with wechat account; display user's profile image; display user's wechat name;	yes	yes	
Wechat	贝壳找房	915M+ (huawei app gallery)	login with wechat account;	no	yes	
Alipay	booking-com-hotels-and-more	500M+ 	share with alipay friends;	no	no	
